id_solicitacao,data_solicitacao,cpf_cliente,produto,valor_solicitado,status,canal_entrada,cidade,analista_responsavel
38,2025/01/11,90455702243,Cartao,,Pendente,App,Fortaleza,Lucas
39,28/02/2025,32498878047,Financiamento,,Negado,App,Rio de Janeiro,Marcos
40,03/02/2025,82975663110,Emprestimo,14661.0,Negado,App,Sao Paulo,Carlos
41,2025-01-05,64281433770,Emprestimo,57553.0,Negado,Agencia,Salvador,Julia
42,30/01/2025,40424352061,Emprestimo,,Aprovado,Agencia,Fortaleza,Ana
43,2025-02-27,40724237059,Financiamento,104888.0,Pendente,App,Porto Alegre,Lucas
44,26/02/2025,69664207392,Cartao,,Pendente,Web,Recife,Lucas
45,25/01/2025,48319321733,Financiamento,104994.0,Negado,Web,Belo Horizonte,Fernanda
46,2025/01/29,18873751856,Emprestimo,,Aprovado,Web,Rio de Janeiro,Fernanda
47,2025/01/15,74858635234,Financiamento,19928.0,Aprovado,Web,Rio de Janeiro,Marcos
48,21/01/2025,68640757866,Emprestimo,,Aprovado,Agencia,Rio de Janeiro,Ana
49,13/01/2025,42916550683,Cartao,59569.0,Pendente,App,Fortaleza,Carlos
50,2025-02-01,84553963001,Emprestimo,,Pendente,Web,Porto Alegre,Julia
51,2025-02-04,44780174651,Emprestimo,14725.0,Aprovado,App,Curitiba,Ana
52,23/02/2025,33940752132,Cartao,70717.0,Negado,Web,Curitiba,Julia
53,2025-01-27,84310652265,Cartao,,Aprovado,Agencia,Sao Paulo,Fernanda
54,2025/02/25,40626140314,Cartao,,Negado,App,Goiania,Fernanda
55,2025/01/03,55202683788,Financiamento,5855.0,Aprovado,App,Recife,Ana
56,2025-02-05,15786239172,Financiamento,29022.0,Pendente,Agencia,Belo Horizonte,Ana
57,2025/01/18,45394807900,Cartao,,Aprovado,Web,Belo Horizonte,Carlos
58,2025-02-11,67595528768,Emprestimo,,Negado,Web,Belo Horizonte,Marcos
59,22/01/2025,98035787425,Emprestimo,4969.0,Negado,Web,Sao Paulo,Lucas
60,2025/01/04,27643926104,Financiamento,18232.0,Aprovado,Web,Campinas,Lucas
61,2025/01/23,62517260506,Cartao,56545.0,Pendente,App,Sao Paulo,Ana
62,2025-01-14,58429635477,Financiamento,1665.0,Negado,Agencia,Rio de Janeiro,Marcos
63,2025-01-13,89888052237,Cartao,86338.0,Pendente,App,Salvador,Ana
64,20/01/2025,38188060976,Emprestimo,,Aprovado,App,Belo Horizonte,Carlos
65,26/01/2025,56955520568,Financiamento,4974.0,Aprovado,App,Goiania,Carlos
66,2025-01-02,76722836545,Financiamento,9437.0,Pendente,Web,Sao Paulo,Marcos
67,2025-02-05,60532363588,Emprestimo,25539.0,Negado,App,Curitiba,Ana
68,05/01/2025,55218601826,Emprestimo,69041.0,Aprovado,Agencia,Recife,Ana
69,2025/01/18,17738379288,Cartao,38924.0,Pendente,Agencia,Fortaleza,Lucas
70,2025-01-21,62541013351,Cartao,87887.0,Negado,App,Belo Horizonte,Carlos
71,30/01/2025,66853057236,Financiamento,9577.0,Negado,App,Sao Paulo,Marcos
72,02/01/2025,45934518916,Cartao,6479.0,Aprovado,Web,Sao Paulo,Marcos
73,2025-01-03,36589436893,Financiamento,16788.0,Aprovado,App,Belo Horizonte,Marcos
74,2025-01-19,79001632470,Emprestimo,61575.0,Negado,App,Campinas,Carlos
75,2025-02-27,25977304169,Cartao,104305.0,Pendente,Agencia,Campinas,Ana
76,2025-02-21,39826555134,Financiamento,11171.0,Negado,Web,Recife,Ana
77,2025/01/28,30525587811,Emprestimo,,Pendente,Agencia,Sao Paulo,Lucas
78,23/02/2025,13605183888,Cartao,11081.0,Aprovado,Agencia,Belo Horizonte,Marcos
79,2025-02-24,94464281184,Financiamento,,Pendente,App,Salvador,Fernanda
80,2025/01/19,20612130331,Financiamento,,Negado,Agencia,Recife,Carlos
81,05/02/2025,84120646170,Emprestimo,,Pendente,Web,Porto Alegre,Ana
82,10/01/2025,73419846293,Financiamento,9126.0,Aprovado,Agencia,Recife,Ana
83,03/01/2025,33202424649,Emprestimo,4492.0,Negado,App,Recife,Julia
84,02/01/2025,25277426652,Financiamento,,Aprovado,App,Fortaleza,Lucas
85,05/01/2025,52977081225,Cartao,6967.0,Aprovado,Web,Sao Paulo,Ana
86,2025/01/23,45819616690,Financiamento,24346.0,Negado,App,Goiania,Carlos
87,2025-01-04,12639678538,Emprestimo,,Pendente,Web,Campinas,Ana
88,2025-01-23,98405622017,Financiamento,50371.0,Negado,Web,Curitiba,Marcos
89,2025/02/16,92564626414,Cartao,94421.0,Aprovado,Agencia,Rio de Janeiro,Julia
90,07/01/2025,10821617394,Cartao,58856.0,Negado,Agencia,Rio de Janeiro,Fernanda
91,2025-01-18,73579066362,Emprestimo,57304.0,Pendente,Web,Sao Paulo,Carlos
92,23/01/2025,64247882766,Emprestimo,74943.0,Aprovado,Agencia,Recife,Marcos
93,2025/01/01,89298272443,Emprestimo,52027.0,Pendente,Web,Rio de Janeiro,Fernanda
94,08/01/2025,95960927140,Financiamento,19676.0,Negado,Web,Sao Paulo,Carlos
95,2025/01/12,13798600562,Cartao,11205.0,Pendente,Web,Fortaleza,Fernanda
96,2025-03-02,41217326876,Financiamento,6862.0,Aprovado,Web,Goiania,Marcos
97,2025/01/20,57712577915,Cartao,,Negado,Web,Fortaleza,Fernanda
98,06/01/2025,27019870857,Financiamento,,Aprovado,App,Goiania,Marcos
99,2025/03/01,74562916318,Financiamento,,Negado,Web,Campinas,Carlos
100,2025/01/03,90453568236,Financiamento,1196.0,Pendente,Web,Campinas,Marcos
101,2025/02/26,15981777859,Emprestimo,37788.0,Aprovado,Web,Recife,Lucas
102,24/01/2025,79830555396,Financiamento,99770.0,Pendente,Web,Goiania,Julia
103,2025/02/21,83944302108,Cartao,85142.0,Aprovado,App,Goiania,Carlos
104,02/01/2025,52945722338,Cartao,,Negado,Agencia,Salvador,Carlos
105,2025-02-23,79832309543,Emprestimo,,Aprovado,Agencia,Belo Horizonte,Marcos
106,2025-01-11,11093386095,Financiamento,5575.0,Negado,Web,Recife,Marcos
107,2025/01/14,30269435066,Emprestimo,113112.0,Aprovado,App,Sao Paulo,Fernanda
108,2025-01-15,59653672462,Cartao,,Pendente,Agencia,Rio de Janeiro,Marcos
109,2025/02/19,47659901444,Emprestimo,7417.0,Pendente,Web,Fortaleza,Marcos
110,2025-01-02,47695505221,Financiamento,,Negado,Agencia,Goiania,Carlos
111,2025-01-06,65539892741,Emprestimo,60887.0,Aprovado,Agencia,Sao Paulo,Ana
112,10/01/2025,82520794993,Emprestimo,,Negado,Agencia,Porto Alegre,Lucas
113,2025-02-20,97475662881,Cartao,116794.0,Negado,App,Curitiba,Fernanda
114,2025-01-28,39875081137,Cartao,,Aprovado,Web,Fortaleza,Ana
115,2025/02/28,85439092932,Emprestimo,,Pendente,App,Salvador,Fernanda
116,2025/02/04,97391126890,Emprestimo,,Negado,Agencia,Curitiba,Julia
117,2025-02-05,77322371604,Financiamento,31976.0,Aprovado,Web,Recife,Ana
118,2025/01/15,74409857702,Financiamento,23289.0,Pendente,Agencia,Goiania,Ana
119,10/02/2025,69137129049,Cartao,19030.0,Negado,Web,Goiania,Carlos
120,2025-01-16,13238467092,Financiamento,,Aprovado,Web,Curitiba,Marcos
121,2025/01/05,60924654337,Financiamento,,Pendente,Agencia,Campinas,Lucas
122,2025-02-19,67269109834,Cartao,17732.0,Negado,Web,Rio de Janeiro,Fernanda
123,2025/02/04,76131958760,Emprestimo,85465.0,Pendente,App,Rio de Janeiro,Fernanda
124,2025-02-10,39674761743,Cartao,40365.0,Pendente,App,Rio de Janeiro,Fernanda
125,2025-01-23,50215259647,Cartao,18871.0,Aprovado,App,Rio de Janeiro,Carlos
126,2025/02/14,13115445832,Emprestimo,,Negado,App,Rio de Janeiro,Julia
127,2025-02-09,30438171745,Financiamento,16505.0,Pendente,Web,Sao Paulo,Fernanda
128,2025/01/25,62041262175,Cartao,,Negado,App,Rio de Janeiro,Fernanda
129,2025/01/22,60678019141,Emprestimo,,Pendente,Agencia,Campinas,Marcos
130,2025-01-24,90860119548,Cartao,,Pendente,Web,Campinas,Ana
131,23/01/2025,79658427114,Cartao,,Aprovado,App,Belo Horizonte,Julia
132,2025-02-22,93894755052,Cartao,,Aprovado,Web,Rio de Janeiro,Carlos
133,2025/01/13,62827907552,Cartao,5119.0,Pendente,App,Sao Paulo,Marcos
134,20/02/2025,49483125804,Emprestimo,,Aprovado,App,Recife,Marcos
135,2025/02/08,66243310107,Cartao,49513.0,Aprovado,Web,Porto Alegre,Marcos
136,2025/02/18,37180382387,Emprestimo,38783.0,Aprovado,Agencia,Porto Alegre,Julia
137,2025-02-15,82461189927,Emprestimo,,Negado,App,Belo Horizonte,Marcos
138,23/01/2025,42390560261,Financiamento,,Aprovado,Web,Goiania,Fernanda
139,2025-01-25,53481729261,Emprestimo,15882.0,Negado,Web,Salvador,Marcos
140,14/02/2025,21104478999,Cartao,608.0,Pendente,Agencia,Campinas,Fernanda
141,2025/01/06,43544934503,Emprestimo,13407.0,Pendente,Web,Curitiba,Lucas
142,19/02/2025,13560331364,Emprestimo,,Negado,App,Goiania,Fernanda
143,2025/01/07,38702912978,Emprestimo,,Aprovado,Web,Salvador,Julia
144,10/01/2025,58539590488,Cartao,37883.0,Aprovado,App,Belo Horizonte,Marcos
145,2025-01-31,32237171359,Financiamento,12530.0,Pendente,App,Porto Alegre,Lucas
146,2025-02-05,95149971079,Financiamento,1307.0,Aprovado,Agencia,Sao Paulo,Marcos
147,2025-01-04,65447118010,Cartao,,Negado,Agencia,Campinas,Lucas
148,2025-02-17,92041818107,Emprestimo,8088.0,Negado,Web,Campinas,Marcos
149,2025/01/02,80617979210,Emprestimo,113367.0,Pendente,Web,Belo Horizonte,Ana
150,2025-02-14,22124350747,Cartao,,Aprovado,Agencia,Campinas,Fernanda
151,2025/02/27,54841442753,Financiamento,14247.0,Pendente,Agencia,Rio de Janeiro,Fernanda
152,2025/02/10,88272798231,Financiamento,,Negado,Web,Salvador,Ana
153,2025-02-18,26481731454,Cartao,55661.0,Aprovado,Agencia,Sao Paulo,Ana
154,2025-02-16,16435833269,Financiamento,119515.0,Pendente,Agencia,Fortaleza,Carlos
155,2025-01-06,35768871221,Emprestimo,98002.0,Negado,Agencia,Recife,Marcos
156,2025/01/27,11615798854,Cartao,24556.0,Negado,Web,Campinas,Julia
157,25/02/2025,48812123091,Cartao,870.0,Aprovado,Agencia,Sao Paulo,Fernanda
158,2025/01/08,28210380872,Cartao,6817.0,Aprovado,App,Sao Paulo,Marcos
159,15/02/2025,90518419276,Cartao,22100.0,Pendente,Web,Campinas,Julia
160,28/02/2025,28878860989,Emprestimo,15642.0,Negado,App,Goiania,Ana
161,2025/01/25,45412296074,Cartao,,Aprovado,App,Goiania,Fernanda
162,26/01/2025,34072024851,Financiamento,74941.0,Aprovado,Web,Recife,Carlos
163,2025-01-30,80016893913,Financiamento,29089.0,Pendente,Agencia,Campinas,Julia
164,24/02/2025,92370086856,Cartao,19300.0,Aprovado,App,Porto Alegre,Carlos
165,2025-02-10,80550753391,Emprestimo,4932.0,Aprovado,Web,Fortaleza,Marcos
166,2025/02/13,77735134424,Cartao,,Aprovado,Agencia,Porto Alegre,Carlos
167,2025/02/13,39143971728,Financiamento,17074.0,Negado,Web,Porto Alegre,Fernanda
168,2025/02/14,16445170782,Financiamento,,Negado,Agencia,Goiania,Fernanda
169,07/02/2025,45461429900,Emprestimo,106832.0,Negado,App,Belo Horizonte,Fernanda
170,01/02/2025,96119070217,Emprestimo,,Negado,Web,Campinas,Julia
171,2025-02-24,29373886060,Cartao,18001.0,Aprovado,Agencia,Goiania,Marcos
172,2025/02/08,76965688372,Cartao,22397.0,Aprovado,Agencia,Fortaleza,Marcos
173,02/01/2025,96864808181,Financiamento,96087.0,Negado,App,Campinas,Fernanda
174,25/02/2025,60288351853,Emprestimo,24311.0,Aprovado,Agencia,Goiania,Ana
175,2025/02/11,75257526654,Financiamento,,Negado,App,Belo Horizonte,Marcos
176,2025-02-09,92484522636,Financiamento,39941.0,Aprovado,Web,Goiania,Julia
177,23/01/2025,75613752003,Financiamento,80347.0,Pendente,Agencia,Fortaleza,Julia
178,2025-02-09,57787949727,Financiamento,,Aprovado,Web,Rio de Janeiro,Lucas
179,2025/01/22,18740205403,Cartao,47914.0,Negado,Agencia,Curitiba,Lucas
180,2025-02-13,30389473693,Emprestimo,86141.0,Negado,Agencia,Belo Horizonte,Fernanda
181,2025-02-17,14584309378,Emprestimo,,Pendente,Agencia,Campinas,Fernanda
182,2025-02-21,35226591756,Cartao,14264.0,Negado,Web,Porto Alegre,Julia
183,2025-01-08,13960203890,Financiamento,,Negado,Agencia,Recife,Fernanda
184,24/02/2025,56182926883,Emprestimo,74143.0,Negado,App,Sao Paulo,Julia
185,2025-02-09,91297360428,Financiamento,,Pendente,Agencia,Campinas,Julia
186,12/02/2025,51308945697,Emprestimo,,Aprovado,Web,Fortaleza,Julia
187,2025/02/28,48695431129,Cartao,10445.0,Aprovado,Web,Recife,Ana
188,2025/02/19,71019073485,Financiamento,500.0,Aprovado,App,Salvador,Lucas
189,2025-01-03,70299084493,Emprestimo,70218.0,Pendente,App,Curitiba,Julia
190,11/02/2025,97747778840,Financiamento,6951.0,Negado,Agencia,Goiania,Marcos
191,2025/01/02,51651367658,Financiamento,110828.0,Aprovado,Agencia,Recife,Fernanda
192,2025/02/09,28188260986,Emprestimo,,Pendente,Agencia,Sao Paulo,Fernanda
193,27/01/2025,18312902317,Emprestimo,11725.0,Aprovado,Web,Rio de Janeiro,Lucas
194,2025-01-15,88409716069,Financiamento,100728.0,Aprovado,App,Rio de Janeiro,Julia
195,2025-01-03,42010640661,Emprestimo,,Pendente,Web,Fortaleza,Ana
196,02/03/2025,80907603511,Cartao,,Pendente,Web,Rio de Janeiro,Lucas
197,2025-01-08,62070392196,Cartao,,Pendente,Web,Campinas,Lucas
198,24/02/2025,22342378787,Emprestimo,,Negado,App,Salvador,Ana
199,23/02/2025,40019174180,Financiamento,15591.0,Aprovado,Web,Campinas,Marcos
200,2025/01/09,73932939360,Cartao,7146.0,Negado,App,Salvador,Lucas
201,2025-02-07,75437199886,Emprestimo,3432.0,Pendente,Web,Rio de Janeiro,Fernanda
202,2025-02-02,58598778896,Cartao,,Negado,Agencia,Recife,Ana
203,2025/01/14,47907816304,Financiamento,5425.0,Pendente,App,Rio de Janeiro,Julia
204,2025/01/18,44135176426,Cartao,15089.0,Negado,App,Salvador,Carlos
205,22/02/2025,57469528170,Financiamento,55787.0,Negado,App,Recife,Fernanda
206,2025/01/11,21473518456,Emprestimo,118853.0,Pendente,Agencia,Fortaleza,Julia
207,01/01/2025,81137278825,Emprestimo,,Negado,Web,Fortaleza,Julia
208,2025-02-13,20943645502,Cartao,,Negado,Agencia,Fortaleza,Lucas
209,10/02/2025,93291591104,Emprestimo,92036.0,Pendente,App,Porto Alegre,Carlos
210,2025-01-11,83806352826,Cartao,14689.0,Aprovado,Web,Goiania,Julia
211,27/01/2025,66885067450,Financiamento,89049.0,Aprovado,Web,Campinas,Fernanda
212,2025-01-19,31740096401,Emprestimo,54775.0,Negado,Web,Salvador,Lucas
213,2025-01-31,47523896971,Cartao,37420.0,Aprovado,App,Campinas,Julia
214,25/02/2025,61409333996,Emprestimo,97165.0,Pendente,Agencia,Salvador,Fernanda
215,2025/01/05,49674093840,Cartao,,Negado,Web,Belo Horizonte,Julia
216,2025/01/18,54838255501,Emprestimo,11417.0,Pendente,App,Rio de Janeiro,Marcos
217,2025/02/08,67467425844,Emprestimo,29519.0,Negado,App,Curitiba,Marcos
218,2025/02/21,48068214481,Emprestimo,3335.0,Aprovado,Agencia,Salvador,Ana
219,26/01/2025,42769485170,Cartao,107471.0,Pendente,Web,Curitiba,Ana
220,03/01/2025,91219499488,Cartao,,Negado,App,Curitiba,Fernanda
221,2025/02/18,15430425090,Financiamento,6236.0,Aprovado,Web,Goiania,Fernanda
222,2025-02-27,38517523223,Cartao,16038.0,Pendente,App,Porto Alegre,Marcos
223,2025-01-09,39952938293,Cartao,66537.0,Negado,Agencia,Sao Paulo,Julia
224,2025/02/22,86219534267,Emprestimo,17850.0,Pendente,Web,Fortaleza,Lucas
225,29/01/2025,37931855108,Cartao,95534.0,Pendente,App,Fortaleza,Ana
226,2025-02-09,92464719397,Emprestimo,29087.0,Pendente,Agencia,Salvador,Lucas
227,01/01/2025,88527644758,Cartao,1113.0,Aprovado,Agencia,Goiania,Carlos
228,28/02/2025,17122550570,Emprestimo,,Negado,App,Curitiba,Carlos
229,2025/01/08,93428703965,Financiamento,26454.0,Negado,Agencia,Curitiba,Julia
230,07/02/2025,59914083776,Emprestimo,1719.0,Negado,App,Recife,Marcos
231,2025/01/19,62372663883,Cartao,,Negado,App,Rio de Janeiro,Fernanda
232,2025/01/05,89474507468,Cartao,25914.0,Negado,Agencia,Goiania,Carlos
233,2025/02/17,32121874314,Cartao,,Pendente,Web,Recife,Carlos
234,2025/01/11,63045541194,Cartao,53195.0,Aprovado,Web,Belo Horizonte,Julia
235,2025/01/27,53591457517,Cartao,,Pendente,Web,Belo Horizonte,Fernanda
236,2025/01/28,84949051860,Cartao,,Aprovado,App,Salvador,Marcos
237,2025/01/05,15305059854,Financiamento,,Aprovado,App,Salvador,Marcos
238,2025-01-19,56218342276,Cartao,7606.0,Negado,Agencia,Campinas,Marcos
239,2025-02-09,78465136534,Financiamento,,Negado,Web,Recife,Marcos
240,2025/01/04,27975811934,Emprestimo,4647.0,Pendente,Agencia,Belo Horizonte,Carlos
241,2025-02-10,42791021009,Financiamento,53593.0,Pendente,Agencia,Curitiba,Julia
242,2025-03-01,47097326192,Emprestimo,,Aprovado,Agencia,Belo Horizonte,Fernanda
243,2025/01/27,96623500563,Cartao,27717.0,Negado,Web,Curitiba,Carlos
244,2025/02/05,91851442282,Emprestimo,3616.0,Negado,App,Recife,Marcos
245,11/02/2025,87728461558,Emprestimo,93680.0,Aprovado,Agencia,Salvador,Ana
246,2025/02/06,92452921953,Emprestimo,16866.0,Aprovado,Web,Belo Horizonte,Ana
247,24/02/2025,51247554379,Cartao,22347.0,Negado,Agencia,Porto Alegre,Marcos
248,2025/02/14,93783057449,Emprestimo,,Pendente,Agencia,Belo Horizonte,Marcos
249,2025-02-28,10629087322,Financiamento,13525.0,Aprovado,Agencia,Goiania,Carlos
250,05/01/2025,43409135096,Financiamento,17163.0,Aprovado,Web,Sao Paulo,Julia
251,08/02/2025,68131368294,Cartao,,Aprovado,Web,Curitiba,Marcos
252,24/01/2025,63230374252,Emprestimo,40259.0,Pendente,Web,Sao Paulo,Marcos
253,2025-01-11,16068939594,Financiamento,,Negado,Web,Porto Alegre,Lucas
254,01/01/2025,51753293253,Cartao,72585.0,Pendente,Web,Fortaleza,Carlos
255,04/02/2025,53288310479,Cartao,,Pendente,App,Goiania,Marcos
256,2025/01/16,88513489271,Financiamento,75009.0,Negado,Web,Rio de Janeiro,Lucas
257,09/02/2025,35327098647,Cartao,,Aprovado,App,Recife,Fernanda
258,2025/02/20,60292232726,Financiamento,65554.0,Pendente,App,Rio de Janeiro,Ana
259,2025/01/26,48291753824,Financiamento,105764.0,Aprovado,App,Campinas,Marcos
260,2025-02-07,17721334873,Cartao,11273.0,Pendente,App,Salvador,Marcos
261,06/01/2025,39626158537,Cartao,,Aprovado,App,Fortaleza,Lucas
262,2025/01/09,11823574771,Cartao,,Negado,App,Recife,Ana
263,2025-01-29,95537400886,Cartao,104828.0,Negado,Web,Salvador,Julia
264,2025/01/07,50899725233,Emprestimo,61195.0,Pendente,Web,Sao Paulo,Lucas
265,02/01/2025,95066729371,Financiamento,,Negado,App,Goiania,Carlos
266,2025/03/02,56500576366,Cartao,,Negado,Agencia,Belo Horizonte,Fernanda
267,06/02/2025,82301692324,Emprestimo,,Aprovado,Agencia,Curitiba,Carlos
268,2025-01-17,45216633031,Financiamento,,Aprovado,Web,Curitiba,Julia
269,20/01/2025,43693781039,Emprestimo,,Aprovado,Web,Salvador,Ana
270,01/03/2025,16929887025,Financiamento,91703.0,Aprovado,Agencia,Porto Alegre,Lucas
271,2025/01/22,76027908618,Emprestimo,39653.0,Aprovado,Web,Rio de Janeiro,Julia
272,2025/02/23,52588718712,Cartao,6924.0,Aprovado,Web,Goiania,Marcos
273,2025/02/03,85585042844,Emprestimo,46554.0,Negado,App,Goiania,Marcos
274,30/01/2025,35758394314,Emprestimo,760.0,Negado,App,Campinas,Lucas
275,05/02/2025,96501588189,Cartao,19107.0,Negado,App,Belo Horizonte,Lucas
276,2025/02/02,11584658343,Cartao,98318.0,Negado,App,Sao Paulo,Lucas
277,28/02/2025,70201157965,Financiamento,31367.0,Aprovado,Web,Sao Paulo,Fernanda
278,13/01/2025,13949185551,Financiamento,9662.0,Negado,Agencia,Sao Paulo,Fernanda
279,2025-02-01,63317397445,Cartao,,Pendente,App,Belo Horizonte,Carlos
280,2025-01-03,33948621908,Financiamento,28208.0,Negado,Web,Campinas,Marcos
281,2025-01-30,23365021073,Emprestimo,44911.0,Aprovado,Web,Rio de Janeiro,Carlos
282,2025/01/08,44327036985,Cartao,109540.0,Pendente,Web,Fortaleza,Julia
283,2025/02/12,50908490987,Cartao,57283.0,Aprovado,Web,Recife,Fernanda
284,2025/01/04,69086323746,Cartao,28136.0,Pendente,Agencia,Porto Alegre,Lucas
285,2025/01/28,84737982576,Cartao,10036.0,Pendente,App,Campinas,Marcos
286,2025/01/03,62659059907,Financiamento,,Pendente,Agencia,Goiania,Julia
287,22/01/2025,19892942902,Cartao,64055.0,Pendente,App,Sao Paulo,Carlos
288,28/02/2025,98021888775,Cartao,77189.0,Aprovado,Agencia,Sao Paulo,Fernanda
289,17/01/2025,74901920244,Cartao,19021.0,Negado,Web,Fortaleza,Ana
290,21/01/2025,67351120137,Financiamento,116121.0,Pendente,Agencia,Porto Alegre,Carlos
291,30/01/2025,79021389511,Emprestimo,,Aprovado,App,Porto Alegre,Julia
292,11/01/2025,36698023362,Cartao,2308.0,Negado,App,Belo Horizonte,Lucas
293,2025/01/26,96651595073,Cartao,,Aprovado,Agencia,Salvador,Julia
294,07/01/2025,40412361537,Financiamento,76472.0,Pendente,Web,Recife,Lucas
295,2025-02-21,94356255995,Emprestimo,71865.0,Negado,App,Curitiba,Lucas
296,2025-01-09,69919737175,Financiamento,57002.0,Pendente,App,Belo Horizonte,Ana
297,2025/03/02,73822652040,Financiamento,74811.0,Negado,App,Fortaleza,Lucas
298,2025/02/13,19127845473,Cartao,17941.0,Aprovado,App,Fortaleza,Carlos
299,2025/01/20,47423076467,Emprestimo,19680.0,Negado,App,Sao Paulo,Julia
300,2025/02/16,97468159252,Financiamento,10019.0,Aprovado,Web,Goiania,Julia
301,2025-02-16,64735170235,Financiamento,,Negado,App,Curitiba,Ana
302,2025-02-21,87639323280,Emprestimo,12012.0,Aprovado,Web,Recife,Marcos
303,2025-01-01,33160425049,Emprestimo,76308.0,Negado,Web,Goiania,Marcos
304,2025/01/16,34770206787,Financiamento,,Negado,Agencia,Goiania,Ana
305,07/02/2025,70458280109,Emprestimo,69058.0,Aprovado,Web,Campinas,Marcos
306,14/02/2025,41381395381,Emprestimo,,Pendente,Web,Campinas,Ana
307,2025/02/08,43128549064,Emprestimo,107624.0,Pendente,App,Campinas,Carlos
308,2025-02-19,88326560670,Cartao,75151.0,Pendente,Web,Salvador,Carlos
309,2025-01-14,30973067195,Financiamento,,Aprovado,Agencia,Salvador,Lucas
310,2025-02-11,11998388898,Emprestimo,,Aprovado,Web,Campinas,Julia
311,03/02/2025,18408209594,Financiamento,18291.0,Aprovado,Web,Goiania,Lucas
312,2025/02/27,67369062606,Cartao,,Aprovado,Web,Goiania,Lucas
313,2025-02-14,56713756262,Emprestimo,,Negado,Web,Belo Horizonte,Ana
314,2025-02-05,77756542609,Cartao,,Negado,App,Rio de Janeiro,Julia
315,2025/02/03,39203762330,Cartao,25717.0,Negado,Agencia,Campinas,Ana
316,2025-01-25,19528159492,Financiamento,118085.0,Aprovado,Agencia,Recife,Ana
317,2025-02-24,52890049565,Financiamento,18137.0,Pendente,App,Curitiba,Marcos
318,2025/01/03,83768655445,Emprestimo,8365.0,Aprovado,App,Fortaleza,Fernanda
319,11/01/2025,18973834151,Emprestimo,1803.0,Negado,App,Porto Alegre,Julia
320,2025-01-02,15004300575,Emprestimo,101623.0,Pendente,App,Goiania,Ana
